datetime,ia
2017-07-21,56.0686
2017-07-22,50.5277
2017-07-23,40.76517
2017-07-24,45.11873
2017-07-25,54.61741
2017-07-26,48.68073
2017-07-27,40.76517
2017-07-28,38.52242
2017-07-29,31.79419
2017-07-30,36.4116
2017-07-31,34.30079
2017-08-01,43.66754
2017-08-02,41.29287
2017-08-03,40.63324
2017-08-04,50.5277
2017-08-05,42.21635
2017-08-06,39.84168
2017-08-07,48.68073
2017-08-08,43.79947
2017-08-09,38.9182
2017-08-10,35.09234
2017-08-11,32.8496
2017-08-12,26.38522
2017-08-13,24.67018
2017-08-14,23.48284
2017-08-15,21.63588
2017-08-16,24.80211
2017-08-17,24.2744
2017-08-18,23.87862
2017-08-19,25.19788
2017-08-20,24.67018
2017-08-21,25.98944
2017-08-22,31.53034
2017-08-23,29.28759
2017-08-24,25.98944
2017-08-25,24.67018
2017-08-26,21.50395
2017-08-27,21.63588
2017-08-28,24.40633
2017-08-29,20.7124
2017-08-30,18.99736
2017-08-31,19.92084
2017-09-01,19.52506
2017-09-02,19.52506
2017-09-03,22.03166
2017-09-04,20.58047
2017-09-05,20.84432
2017-09-06,18.86543
2017-09-07,25.85751
2017-09-08,24.93403
2017-09-09,21.10817
2017-09-10,20.44854
2017-09-11,20.18469
2017-09-12,17.81002
2017-09-13,20.97625
2017-09-14,16.22691
2017-09-15,20.44854
2017-09-16,14.51187
2017-09-17,18.99736
2017-09-18,18.60158
2017-09-19,17.41424
2017-09-20,19.78891
2017-09-21,16.49076
2017-09-22,17.81002
2017-09-23,15.03957
2017-09-24,20.97625
2017-09-25,19.12928
2017-09-26,19.78891
2017-09-27,15.43535
2017-09-28,15.1715
2017-09-29,14.24802
2017-09-30,13.58839
2017-10-01,12.00527
2017-10-02,14.77572
2017-10-03,13.72031
2017-10-04,13.98416
2017-10-05,13.45646
2017-10-06,12.79683
2017-10-07,13.58839
2017-10-08,10.29023
2017-10-09,17.94195
2017-10-10,12.6649
2017-10-11,12.6649
2017-10-12,12.92875
2017-10-13,11.08179
2017-10-14,10.55408
2017-10-15,12.00527
2017-10-16,15.43535
2017-10-17,13.98416
2017-10-18,14.77572
2017-10-19,13.06068
2017-10-20,14.90765
2017-10-21,10.81794
2017-10-22,11.74142
2017-10-23,12.6649
2017-10-24,11.60949
2017-10-25,13.06068
2017-10-26,11.08179
2017-10-27,10.29023
2017-10-28,9.89445
2017-10-29,12.53298
2017-10-30,11.60949
2017-10-31,10.94986
2017-11-01,12.00527
2017-11-02,10.94986
2017-11-03,11.60949
2017-11-04,9.6306
2017-11-05,11.74142
2017-11-06,10.81794
2017-11-07,12.40105
2017-11-08,12.40105
2017-11-09,11.08179
2017-11-10,10.42216
2017-11-11,6.72823
2017-11-12,9.6306
2017-11-13,10.68601
2017-11-14,8.44327
2017-11-15,8.31134
2017-11-16,10.81794
2017-11-17,10.81794
2017-11-18,7.78364
2017-11-19,8.31134
2017-11-20,9.89445
2017-11-21,12.53298
2017-11-22,6.5963
2017-11-23,9.89445
2017-11-24,8.83905
2017-11-25,6.0686
2017-11-26,7.12401
2017-11-27,10.29023
2017-11-28,12.6649
2017-11-29,11.21372
2017-11-30,7.38786
2017-12-01,6.46437
2017-12-02,7.12401
2017-12-03,8.70712
2017-12-04,9.89445
2017-12-05,10.15831
2017-12-06,8.04749
2017-12-07,8.97097
2017-12-08,8.70712
2017-12-09,9.49868
2017-12-10,9.49868
2017-12-11,7.12401
2017-12-12,7.25593
2017-12-13,6.99208
2017-12-14,8.31134
2017-12-15,9.1029
2017-12-16,8.57519
2017-12-17,6.46437
2017-12-18,7.38786
2017-12-19,10.15831
2017-12-20,7.78364
2017-12-21,7.91556
2017-12-22,7.65171
2017-12-23,7.12401
2017-12-24,8.31134
2017-12-25,9.23482
2017-12-26,6.99208
2017-12-27,12.1372
2017-12-28,7.38786
2017-12-29,10.81794
2017-12-30,10.55408
2017-12-31,12.92875
2018-01-01,8.83905
2018-01-02,12.1372
2018-01-03,14.37994
2018-01-04,11.60949
2018-01-05,11.87335
2018-01-06,9.6306
2018-01-07,10.42216
2018-01-08,10.15831
2018-01-09,12.26912
2018-01-10,10.81794
2018-01-11,12.1372
2018-01-12,7.78364
2018-01-13,8.57519
2018-01-14,12.00527
2018-01-15,10.29023
2018-01-16,10.68601
2018-01-17,13.85224
2018-01-18,13.19261
2018-01-19,13.06068
2018-01-20,10.15831
2018-01-21,11.74142
2018-01-22,19.92084
2018-01-23,17.6781
2018-01-24,15.43535
2018-01-25,12.92875
2018-01-26,11.74142
2018-01-27,9.49868
2018-01-28,12.26912
2018-01-29,11.08179
2018-01-30,11.34564
2018-01-31,9.6306
2018-02-01,15.30343
2018-02-02,11.47757
2018-02-03,11.08179
2018-02-04,10.94986
2018-02-05,10.42216
2018-02-06,12.40105
2018-02-07,16.22691
2018-02-08,13.85224
2018-02-09,14.37994
2018-02-10,13.45646
2018-02-11,10.68601
2018-02-12,11.21372
2018-02-13,11.87335
2018-02-14,11.47757
2018-02-15,9.36675
2018-02-16,10.29023
2018-02-17,8.44327
2018-02-18,10.29023
2018-02-19,12.6649
2018-02-20,12.53298
2018-02-21,15.6992
2018-02-22,14.37994
2018-02-23,9.23482
2018-02-24,13.45646
2018-02-25,15.96306
2018-02-26,15.56728
2018-02-27,18.7335
2018-02-28,14.11609
2018-03-01,12.1372
2018-03-02,14.64379
2018-03-03,17.15039
2018-03-04,20.58047
2018-03-05,13.58839
2018-03-06,22.95514
2018-03-07,15.43535
2018-03-08,16.22691
2018-03-09,15.03957
2018-03-10,19.26121
2018-03-11,22.16358
2018-03-12,23.7467
2018-03-13,23.7467
2018-03-14,30.21108
2018-03-15,20.7124
2018-03-16,21.50395
2018-03-17,20.97625
2018-03-18,20.44854
2018-03-19,20.97625
2018-03-20,25.46174
2018-03-21,17.28232
2018-03-22,22.95514
2018-03-23,25.06596
2018-03-24,21.89973
2018-03-25,25.85751
2018-03-26,26.781
2018-03-27,30.87071
2018-03-28,27.83641
2018-03-29,30.60686
2018-03-30,27.57255
2018-03-31,25.46174
2018-04-01,25.85751
2018-04-02,31.00263
2018-04-03,39.31398
2018-04-04,25.46174
2018-04-05,21.76781
2018-04-06,32.32189
2018-04-07,19.12928
2018-04-08,20.44854
2018-04-09,23.7467
2018-04-10,28.10026
2018-04-11,29.8153
2018-04-12,28.75989
2018-04-13,27.44063
2018-04-14,17.41424
2018-04-15,22.42744
2018-04-16,28.89182
2018-04-17,30.343
2018-04-18,31.79419
2018-04-19,32.71767
2018-04-20,37.73087
2018-04-21,35.48812
2018-04-22,29.94722
2018-04-23,26.781
2018-04-24,21.76781
2018-04-25,31.53034
2018-04-26,30.73878
2018-04-27,25.72559
2018-04-28,24.01055
2018-04-29,32.58575
2018-04-30,35.48812
2018-05-01,33.64116
2018-05-02,25.06596
2018-05-03,30.07915
2018-05-04,23.7467
2018-05-05,23.35092
2018-05-06,25.85751
2018-05-07,30.87071
