datetime,americano,cafelatte,cafemoca,caramelmatk,icedamericano,weather_avgtemp,weather_avgmoist,weather_avgwindspeed,weather_rain,weather_maxtemp,weather_maxwindspeed,weather_mintemp
2016-09-07,34.986,21.2315,16.51339,28.9884,6.19752,23.6754717,77.76315789,1.1,1.58490566,28.51132075,2.988679245,20.00566038
2016-09-08,34.2263,20.63174,14.83406,26.50939,5.83766,22.55,80.07692308,0.968518519,5.674074074,27.07222222,3.707407407,19.82407407
2016-09-09,30.7477,19.27229,15.03398,25.54978,5.83766,23.09814815,75.55,1.090740741,1.009433962,28.6537037,3.203703704,19.31111111
2016-09-10,29.10835,18.55257,15.11395,23.83046,5.07796,23.27777778,75.48717949,1.016666667,0.018518519,28.70740741,2.627777778,18.93333333
2016-09-11,32.50699,22.2311,17.83286,26.66933,6.63734,23.5962963,74.33333333,1.172222222,0.185185185,28.06666667,3.042592593,20.47962963
2016-09-12,29.46821,18.63254,12.87485,23.47061,4.15833,23.09245283,76.38461538,1.250943396,1.952830189,28.70943396,3.983018868,20.16226415
2016-09-13,25.18992,18.15273,14.87405,21.63134,5.67772,23.68888889,71.15384615,1.2,0.12962963,29.88703704,2.903703704,18.62777778
2016-09-14,26.14954,18.75249,13.75449,21.39144,4.67812,23.53518519,74,1.157407407,0.648148148,28.71481481,3.344444444,19.4962963
2016-09-15,28.10875,19.07237,15.07397,21.95121,3.55857,22.79259259,75.46153846,0.931481481,0,28.85740741,2.622222222,17.73518519
2016-09-16,29.2283,21.91123,19.19232,26.10955,4.39824,23.49056604,74.66666667,0.92037037,0.055555556,28.8462963,2.483333333,19.09814815
2016-09-17,31.10755,25.50979,20.27189,28.66853,5.15793,22.27037037,74.25641026,1.835185185,11.22037037,27.02222222,4.375925926,18.40740741
2016-09-18,33.10675,24.11035,21.19152,30.90763,5.35785,22.55740741,63.30769231,1.92962963,0,27.47592593,3.962962963,18.82962963
2016-09-19,35.26589,21.55137,17.59296,29.38824,5.67772,21.04074074,61.56410256,2.187037037,0,27.02962963,4.575925926,16.74444444
2016-09-20,34.62614,23.51059,16.59336,27.34906,5.63774,19.7037037,50.15384615,2.061111111,0,25.86666667,4.285185185,14.22962963
2016-09-21,33.38664,23.31067,18.11275,30.66773,6.43742,18.75,58.56410256,1.348148148,0,24.69074074,3.292592593,12.51851852
2016-09-22,35.9856,22.95081,19.2323,30.14794,4.75809,20.18703704,60.92307692,1.187037037,0,26.25,2.864814815,15.87592593
2016-09-23,31.90723,22.15113,20.71171,27.10915,4.2383,20.13888889,68.53846154,1.040740741,0,26.78888889,2.772222222,14.41296296
